system,topic,rank,score
10x10.prf.unipd.it,20,5,0.08192
10x10.prf.unipd.it,20,6,0
10x10.prf.unipd.it,20,7,0.0524288
10x10.prf.unipd.it,21,1,0.2
10x10.prf.unipd.it,21,2,0
10x10.prf.unipd.it,21,3,0.128
10x10.prf.unipd.it,21,4,0
10x10.prf.unipd.it,21,5,0.08192
10x10.prf.unipd.it,21,6,0.065536
10x10.prf.unipd.it,21,7,0.0524288
10x10.prf.unipd.it,22,1,0.2
10x10.prf.unipd.it,22,2,0.16
10x10.prf.unipd.it,22,3,0.128
10x10.prf.unipd.it,22,4,0.1024
10x10.prf.unipd.it,22,5,0.08192
10x10.prf.unipd.it,22,6,0.065536
10x10.prf.unipd.it,22,7,0.0524288
10x10.prf.unipd.it,23,1,0.2
10x10.prf.unipd.it,23,2,0.16
10x10.prf.unipd.it,23,3,0.128
10x10.prf.unipd.it,23,4,0
10x10.prf.unipd.it,23,5,0.08192
10x10.prf.unipd.it,23,6,0.065536
10x10.prf.unipd.it,23,7,0
10x10.prf.unipd.it,24,1,0.1
10x10.prf.unipd.it,24,2,0.16
10x10.prf.unipd.it,24,3,0.128
10x10.prf.unipd.it,24,4,0.0512
10x10.prf.unipd.it,24,5,0
10x10.prf.unipd.it,24,6,0.065536
10x10.prf.unipd.it,24,7,0
10x10.prf.unipd.it,25,1,0
10x10.prf.unipd.it,25,2,0
10x10.prf.unipd.it,25,3,0
10x10.prf.unipd.it,25,4,0.1024
10x10.prf.unipd.it,25,5,0.08192
10x10.prf.unipd.it,25,6,0
10x10.prf.unipd.it,25,7,0
10x10.prf.unipd.it,26,1,0
10x10.prf.unipd.it,26,2,0
10x10.prf.unipd.it,26,3,0.128
10x10.prf.unipd.it,26,4,0
10x10.prf.unipd.it,26,5,0
10x10.prf.unipd.it,26,6,0
10x10.prf.unipd.it,26,7,0
10x10.prf.unipd.it,27,1,0.2
10x10.prf.unipd.it,27,2,0.16
10x10.prf.unipd.it,27,3,0.128
10x10.prf.unipd.it,27,4,0.0512
10x10.prf.unipd.it,27,5,0.04096
10x10.prf.unipd.it,27,6,0.065536
10x10.prf.unipd.it,27,7,0.0524288
10x10.prf.unipd.it,28,1,0.2
10x10.prf.unipd.it,28,2,0.16
10x10.prf.unipd.it,28,3,0
10x10.prf.unipd.it,28,4,0.1024
10x10.prf.unipd.it,28,5,0.08192
10x10.prf.unipd.it,28,6,0.065536
10x10.prf.unipd.it,28,7,0.0524288
10x10.prf.unipd.it,29,1,0
10x10.prf.unipd.it,29,2,0.16
10x10.prf.unipd.it,29,3,0.128
10x10.prf.unipd.it,29,4,0.1024
10x10.prf.unipd.it,29,5,0.08192
10x10.prf.unipd.it,29,6,0.065536
10x10.prf.unipd.it,29,7,0
10x10.prf.unipd.it,30,1,0.2
10x10.prf.unipd.it,30,2,0.08
10x10.prf.unipd.it,30,3,0.128
10x10.prf.unipd.it,30,4,0.1024
10x10.prf.unipd.it,30,5,0.04096
10x10.prf.unipd.it,30,6,0
10x10.prf.unipd.it,30,7,0
10x20.prf.unipd.it,1,1,0
10x20.prf.unipd.it,1,2,0
10x20.prf.unipd.it,1,3,0.128
10x20.prf.unipd.it,1,4,0
10x20.prf.unipd.it,1,5,0
10x20.prf.unipd.it,1,6,0.032768
10x20.prf.unipd.it,1,7,0
10x20.prf.unipd.it,2,1,0
10x20.prf.unipd.it,2,2,0
10x20.prf.unipd.it,2,3,0.128
10x20.prf.unipd.it,2,4,0
10x20.prf.unipd.it,2,5,0.04096
10x20.prf.unipd.it,2,6,0
10x20.prf.unipd.it,2,7,0.0524288
10x20.prf.unipd.it,3,1,0
10x20.prf.unipd.it,3,2,0
10x20.prf.unipd.it,3,3,0
10x20.prf.unipd.it,3,4,0.0512
10x20.prf.unipd.it,3,5,0.04096
10x20.prf.unipd.it,3,6,0
10x20.prf.unipd.it,3,7,0.0262144
10x20.prf.unipd.it,4,1,0.2
10x20.prf.unipd.it,4,2,0.16
10x20.prf.unipd.it,4,3,0
10x20.prf.unipd.it,4,4,0
10x20.prf.unipd.it,4,5,0
10x20.prf.unipd.it,4,6,0
10x20.prf.unipd.it,4,7,0.0262144
10x20.prf.unipd.it,5,1,0.2
10x20.prf.unipd.it,5,2,0.16
10x20.prf.unipd.it,5,3,0.064
10x20.prf.unipd.it,5,4,0.0512
10x20.prf.unipd.it,5,5,0.08192
10x20.prf.unipd.it,5,6,0.065536
10x20.prf.unipd.it,5,7,0
10x20.prf.unipd.it,6,1,0.1
10x20.prf.unipd.it,6,2,0.16
10x20.prf.unipd.it,6,3,0.128
10x20.prf.unipd.it,6,4,0.1024
10x20.prf.unipd.it,6,5,0.08192
10x20.prf.unipd.it,6,6,0.032768
10x20.prf.unipd.it,6,7,0.0524288
10x20.prf.unipd.it,7,1,0.2
10x20.prf.unipd.it,7,2,0.16
10x20.prf.unipd.it,7,3,0.128
10x20.prf.unipd.it,7,4,0.1024
10x20.prf.unipd.it,7,5,0
10x20.prf.unipd.it,7,6,0.065536
10x20.prf.unipd.it,7,7,0.0524288
10x20.prf.unipd.it,8,1,0
10x20.prf.unipd.it,8,2,0.16
10x20.prf.unipd.it,8,3,0
10x20.prf.unipd.it,8,4,0.0512
10x20.prf.unipd.it,8,5,0.04096
10x20.prf.unipd.it,8,6,0.032768
10x20.prf.unipd.it,8,7,0.0262144
10x20.prf.unipd.it,9,1,0.2
10x20.prf.unipd.it,9,2,0.16
10x20.prf.unipd.it,9,3,0
10x20.prf.unipd.it,9,4,0
10x20.prf.unipd.it,9,5,0
10x20.prf.unipd.it,9,6,0.065536
10x20.prf.unipd.it,9,7,0
10x20.prf.unipd.it,10,1,0.2
10x20.prf.unipd.it,10,2,0.16
10x20.prf.unipd.it,10,3,0.128
10x20.prf.unipd.it,10,4,0.1024
10x20.prf.unipd.it,10,5,0.08192
10x20.prf.unipd.it,10,6,0.065536
10x20.prf.unipd.it,10,7,0.0524288
10x20.prf.unipd.it,11,1,0.1
10x20.prf.unipd.it,11,2,0.08
10x20.prf.unipd.it,11,3,0
10x20.prf.unipd.it,11,4,0.0512
10x20.prf.unipd.it,11,5,0.04096
10x20.prf.unipd.it,11,6,0.032768
10x20.prf.unipd.it,11,7,0
10x20.prf.unipd.it,12,1,0.2
10x20.prf.unipd.it,12,2,0.16
10x20.prf.unipd.it,12,3,0.128
10x20.prf.unipd.it,12,4,0.0512
10x20.prf.unipd.it,12,5,0.04096
10x20.prf.unipd.it,12,6,0.032768
10x20.prf.unipd.it,12,7,0.0524288
10x20.prf.unipd.it,13,1,0.2
10x20.prf.unipd.it,13,2,0.08
10x20.prf.unipd.it,13,3,0.064
10x20.prf.unipd.it,13,4,0
10x20.prf.unipd.it,13,5,0.04096
10x20.prf.unipd.it,13,6,0.065536
10x20.prf.unipd.it,13,7,0.0524288
10x20.prf.unipd.it,14,1,0.1
10x20.prf.unipd.it,14,2,0.16
10x20.prf.unipd.it,14,3,0.064
10x20.prf.unipd.it,14,4,0
10x20.prf.unipd.it,14,5,0.04096
10x20.prf.unipd.it,14,6,0.032768
10x20.prf.unipd.it,14,7,0
10x20.prf.unipd.it,15,1,0
10x20.prf.unipd.it,15,2,0
10x20.prf.unipd.it,15,3,0
10x20.prf.unipd.it,15,4,0
10x20.prf.unipd.it,15,5,0
10x20.prf.unipd.it,15,6,0
10x20.prf.unipd.it,15,7,0
10x20.prf.unipd.it,16,1,0
10x20.prf.unipd.it,16,2,0.16
10x20.prf.unipd.it,16,3,0.064
10x20.prf.unipd.it,16,4,0.1024
10x20.prf.unipd.it,16,5,0.04096
10x20.prf.unipd.it,16,6,0
10x20.prf.unipd.it,16,7,0.0262144
10x20.prf.unipd.it,17,1,0
10x20.prf.unipd.it,17,2,0.16
10x20.prf.unipd.it,17,3,0.128
10x20.prf.unipd.it,17,4,0.1024
10x20.prf.unipd.it,17,5,0.08192
10x20.prf.unipd.it,17,6,0.065536
10x20.prf.unipd.it,17,7,0.0524288
10x20.prf.unipd.it,18,1,0.1
10x20.prf.unipd.it,18,2,0
10x20.prf.unipd.it,18,3,0.128
10x20.prf.unipd.it,18,4,0.0512
10x20.prf.unipd.it,18,5,0
10x20.prf.unipd.it,18,6,0
10x20.prf.unipd.it,18,7,0
10x20.prf.unipd.it,19,1,0
10x20.prf.unipd.it,19,2,0.16
10x20.prf.unipd.it,19,3,0
10x20.prf.unipd.it,19,4,0.1024
10x20.prf.unipd.it,19,5,0
10x20.prf.unipd.it,19,6,0.065536
10x20.prf.unipd.it,19,7,0
10x20.prf.unipd.it,20,1,0
10x20.prf.unipd.it,20,2,0.16
10x20.prf.unipd.it,20,3,0.128
10x20.prf.unipd.it,20,4,0.1024
10x20.prf.unipd.it,20,5,0
10x20.prf.unipd.it,20,6,0.065536
10x20.prf.unipd.it,20,7,0
10x20.prf.unipd.it,21,1,0
10x20.prf.unipd.it,21,2,0.16
10x20.prf.unipd.it,21,3,0
10x20.prf.unipd.it,21,4,0.1024
10x20.prf.unipd.it,21,5,0.08192
10x20.prf.unipd.it,21,6,0.065536
10x20.prf.unipd.it,21,7,0.0262144
10x20.prf.unipd.it,22,1,0.2
10x20.prf.unipd.it,22,2,0
10x20.prf.unipd.it,22,3,0
10x20.prf.unipd.it,22,4,0.1024
10x20.prf.unipd.it,22,5,0.08192
10x20.prf.unipd.it,22,6,0
10x20.prf.unipd.it,22,7,0.0524288
10x20.prf.unipd.it,23,1,0.2
10x20.prf.unipd.it,23,2,0.16
10x20.prf.unipd.it,23,3,0
10x20.prf.unipd.it,23,4,0.1024
10x20.prf.unipd.it,23,5,0.08192
10x20.prf.unipd.it,23,6,0.065536
10x20.prf.unipd.it,23,7,0.0524288
10x20.prf.unipd.it,24,1,0.1
10x20.prf.unipd.it,24,2,0.16
10x20.prf.unipd.it,24,3,0.128
10x20.prf.unipd.it,24,4,0
10x20.prf.unipd.it,24,5,0.08192
10x20.prf.unipd.it,24,6,0.032768
